top: failed tty get
   PID TTY          TIME CMD
247370 ?        00:00:00 slurm_script
247373 ?        00:00:00 ps
USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.0 191448  4412 ?        Ss   Nov22   0:20 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root         97  0.0  0.0      0     0 ?        S    Nov22   0:02 [kworker/17:0]
root         98  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/17:0H]
root         99  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/18]
root        100  0.0  0.0      0     0 ?        S    Nov22   0:01 [migration/18]
root        101  0.0  0.0      0     0 ?        S    Nov22   0:02 [ksoftirqd/18]
root        104  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/19]
root        105  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/19]
root        106  0.0  0.0      0     0 ?        S    Nov22   0:11 [ksoftirqd/19]
root        107  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/19:0]
root        108  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/19:0H]
root        109  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/20]
root        110  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/20]
root        111  0.0  0.0      0     0 ?        S    Nov22   0:02 [ksoftirqd/20]
root        112  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/20:0]
root        113  0.0  0.0      0     0 ?        S<   Nov22   0:01 [kworker/20:0H]
root        114  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/21]
root        115  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/21]
root        116  0.0  0.0      0     0 ?        S    Nov22   0:10 [ksoftirqd/21]
root        118  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/21:0H]
root        119  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/22]
root        120  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/22]
root        121  0.0  0.0      0     0 ?        S    Nov22   0:03 [ksoftirqd/22]
root        123  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/22:0H]
root        124  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/23]
root        125  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/23]
root        126  0.0  0.0      0     0 ?        S    Nov22   0:09 [ksoftirqd/23]
root        128  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/23:0H]
root        129  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/24]
root        130  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/24]
root        131  0.0  0.0      0     0 ?        S    Nov22   0:05 [ksoftirqd/24]
root        133  0.0  0.0      0     0 ?        S<   Nov22   0:01 [kworker/24:0H]
root        134  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/25]
root        135  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/25]
root        136  0.0  0.0      0     0 ?        S    Nov22   0:12 [ksoftirqd/25]
root        138  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/25:0H]
root        139  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/26]
root        140  0.0  0.0      0     0 ?        S    Nov22   0:01 [migration/26]
root        141  0.0  0.0      0     0 ?        S    Nov22   0:03 [ksoftirqd/26]
root        142  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/26:0]
root        143  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/26:0H]
root        144  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/27]
root        145  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/27]
root        146  0.0  0.0      0     0 ?        S    Nov22   0:09 [ksoftirqd/27]
root        148  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/27:0H]
root        149  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/28]
root        150  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/28]
root        151  0.0  0.0      0     0 ?        S    Nov22   0:02 [ksoftirqd/28]
root        153  0.0  0.0      0     0 ?        S<   Nov22   0:01 [kworker/28:0H]
root        154  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/29]
root        155  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/29]
root        156  0.0  0.0      0     0 ?        S    Nov22   0:07 [ksoftirqd/29]
root        158  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/29:0H]
root        159  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/30]
root        160  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/30]
root        161  0.0  0.0      0     0 ?        S    Nov22   0:15 [ksoftirqd/30]
